1,-0.01253012
2,-0.00820630
3,-0.00335058
4,0.00158883
5,0.00816825
6,0.01468152
7,0.02531986
8,0.03746764
9,0.04838531
10,0.05904130
11,0.06692574
12,0.07349306
13,0.07695309
14,0.08082196
15,0.08600329
16,0.08977570
17,0.09479298
18,0.10176136
19,0.10784734
20,0.11468804
21,0.12002631
22,0.12749691
23,0.13508993
24,0.14087891
25,0.14952870
26,0.15651018
27,0.16478629
28,0.17548683
29,0.18433998
30,0.19264425
31,0.20130937
32,0.21179160
33,0.22116131
34,0.22998590
35,0.24094760
36,0.25182831
37,0.26366535
38,0.27360485
39,0.28502322
40,0.29811054
41,0.30777097
42,0.31725907
43,0.32660879
44,0.33668228
45,0.34450072
46,0.35166380
47,0.36087675
48,0.36405199
49,0.36775720
50,0.36742596
51,0.36803677
52,0.36537122
53,0.36290593
54,0.36118575
55,0.35934897
56,0.36345350
57,0.36708796
58,0.36617178
59,0.36995923
60,0.37126134
61,0.37333388
62,0.37395667
63,0.37627062
64,0.37585050
65,0.37816941
66,0.37522235
67,0.37522080
68,0.37650819
69,0.37617513
70,0.37929328
71,0.37907312
72,0.37899634
73,0.37703641
74,0.37427633
75,0.37099343
76,0.36932501
77,0.36604045
78,0.36532119
79,0.36042354
80,0.35758990
81,0.35600980
82,0.35436250
83,0.34785832
84,0.34375053
85,0.33837128
86,0.33331808
87,0.32857969
88,0.32205556
89,0.31695634
90,0.31298567
91,0.30694149
92,0.29867273
93,0.29301411
94,0.28353612
95,0.27939952
96,0.27506824
97,0.27074667
98,0.25889966
99,0.25147969
100,0.24722583
