Slice,Mean
1,0.03961
2,0.05710
3,0.06618
4,0.08238
5,0.08738
6,0.09604
7,0.11599
8,0.13572
9,0.14790
10,0.16202
11,0.18567
12,0.20231
13,0.22306
14,0.23035
15,0.25553
16,0.27905
17,0.32099
18,0.36626
19,0.42734
20,0.51517
21,0.60741
22,0.72473
23,0.86088
24,0.97418
25,1.03436
26,1.05017
27,1.05721
28,1.04972
29,1.04740
30,1.03736
31,1.03125
32,1.04819
33,1.03994
34,1.02973
35,1.04514
36,1.05698
37,1.07954
38,1.10018
39,1.12000
40,1.14938
41,1.21668
42,1.34298
43,1.55412
44,1.75500
45,2.01004
46,2.32517
47,2.45178
48,2.48645
49,2.47970
50,2.32019
51,2.09832
52,1.85802
53,1.69749
54,1.53794
55,1.33675
56,1.21799
57,1.11933
58,1.04502
59,1.01642
60,0.98978
61,0.97844
62,0.97824
63,0.98264
64,1.04392
65,1.04823
66,1.07158
67,1.07153
68,1.04944
69,1.02349
70,0.97621
71,0.90799
72,0.88203
73,0.79134
74,0.73354
75,0.67048
76,0.61907
77,0.59577
78,0.55551
79,0.51683
80,0.49444
81,0.47483
82,0.45749
83,0.44089
84,0.42889
85,0.41688
86,0.39932
87,0.38046
88,0.38486
89,0.36490
90,0.35946
91,0.34832
92,0.34152
93,0.32454
94,0.30451
95,0.30987
96,0.29586
97,0.28980
98,0.27856
99,0.27370
100,0.26478
